fixture_date,division,home_team,away_team,home_sets,home_games,away_sets,away_games
2026-06-01,4B,ASHW1,KIMP3,NA,NA,NA,NA
2026-06-01,4B,HITC3,DIGS3,NA,NA,NA,NA
2026-06-01,4B,ODYS3,ELLI3,NA,NA,NA,NA
2026-06-01,5A,ODYS5,DATCH,NA,NA,NA,NA
2026-06-01,5A,PIRT3,WATT4,NA,NA,NA,NA
2026-06-01,5A,WHEA4,ST M1,NA,NA,NA,NA
2026-06-01,5A,LIST2,DELL2,NA,NA,NA,NA
2026-06-01,5B,LETC2,ASHW2,NA,NA,NA,NA
2026-06-01,5B,ORCH4,WHEA5,NA,NA,NA,NA
2026-06-01,5B,WELW5,CODI5,NA,NA,NA,NA
2026-06-01,5B,WATT3,KIMP4,NA,NA,NA,NA
2026-06-01,6A,ELLI4,CODI6,NA,NA,NA,NA
2026-06-01,6A,ASTO3,TEWI1,NA,NA,NA,NA
2026-06-01,6A,WYMOY,LEGE3,NA,NA,NA,NA
2026-06-01,6A,DELL3,WELW6,NA,NA,NA,NA
2026-06-01,6B,KIMP5,DELL4,NA,NA,NA,NA
2026-06-01,6B,CODI7,DIGS4,NA,NA,NA,NA
2026-06-01,6B,HITC5,ASTO2,NA,NA,NA,NA
2026-06-01,6B,ORCH5,ST M2,NA,NA,NA,NA
2026-06-01,7A,DELL5,KIMP6,NA,NA,NA,NA
2026-06-01,7A,WHEA6,ODYS6,NA,NA,NA,NA
2026-06-01,7A,ST PS,KNEB5,NA,NA,NA,NA
2026-06-01,7A,WEST2,WATT5,NA,NA,NA,NA
2026-06-01,7B,WELW7,HODD2,NA,NA,NA,NA
2026-06-01,7B,DELL6,HITC6,NA,NA,NA,NA
2026-06-01,7B,TEWI2,ORCH6,NA,NA,NA,NA
2026-06-01,7B,ASHW3,KNEB4,NA,NA,NA,NA
2026-06-01,8A,DIGS5,LIST3,NA,NA,NA,NA
2026-06-01,8A,CODI8,LETC3,NA,NA,NA,NA
2026-06-01,8A,WELW8,ASTO4,NA,NA,NA,NA
2026-06-01,8A,KIMP7,KNEB6,NA,NA,NA,NA
2026-06-08,1,WELW1,WELW2,NA,NA,NA,NA
2026-06-08,1,ORCH1,KNEB1,NA,NA,NA,NA
2026-06-08,1,CODI1,ELLI1,NA,NA,NA,NA
2026-06-08,1,PIRT1,HITC1,NA,NA,NA,NA
2026-06-08,2,KIMP1,GOSLG,NA,NA,NA,NA
2026-06-08,2,LETC1,ASTO1,NA,NA,NA,NA
2026-06-08,2,ELLI2,CODI2,NA,NA,NA,NA
2026-06-08,2,WHEA1,WELW3,NA,NA,NA,NA
2026-06-08,3A,ODYS1,KNEB3,NA,NA,NA,NA
2026-06-08,3A,KIMP2,DIGS2,NA,NA,NA,NA
2026-06-08,3A,LIST1,HODD1,NA,NA,NA,NA
2026-06-08,3A,DELL1,WELW4,NA,NA,NA,NA
2026-06-08,3B,HITC2,KNEB2,NA,NA,NA,NA
2026-06-08,3B,ODYS2,LEGE1,NA,NA,NA,NA
2026-06-08,3B,WHEA2,CODI3,NA,NA,NA,NA
2026-06-08,3B,DIGS1,ORCH2,NA,NA,NA,NA
2026-06-08,4A,PIRT2,HITC4,NA,NA,NA,NA
2026-06-08,4A,WATT2,LEGE2,NA,NA,NA,NA
2026-06-08,4A,ODYS4,WHEA3,NA,NA,NA,NA
2026-06-08,4A,CODI4,WEST1,NA,NA,NA,NA
2026-06-08,4B,ELLI3,WATT1,NA,NA,NA,NA
2026-06-08,4B,HITC3,ASHW1,NA,NA,NA,NA
2026-06-08,4B,ORCH3,ODYS3,NA,NA,NA,NA
2026-06-08,4B,DIGS3,KIMP3,NA,NA,NA,NA
2026-06-08,5A,DELL2,ODYS5,NA,NA,NA,NA
2026-06-08,5A,WHEA4,PIRT3,NA,NA,NA,NA
2026-06-08,5A,DATCH,LIST2,NA,NA,NA,NA
2026-06-08,5A,ST M1,WATT4,NA,NA,NA,NA
2026-06-08,5B,KIMP4,LETC2,NA,NA,NA,NA
2026-06-08,5B,WELW5,ORCH4,NA,NA,NA,NA
2026-06-08,5B,ASHW2,WATT3,NA,NA,NA,NA
2026-06-08,5B,CODI5,WHEA5,NA,NA,NA,NA
2026-06-08,6A,WELW6,ELLI4,NA,NA,NA,NA
